numero_amostra,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1,8364,208,16328,-416,113,48
2,8308,76,16400,-424,90,38
3,8368,48,16332,-428,123,13
4,8356,92,16384,-398,108,40
5,8336,172,16388,-403,70,15
6,8420,208,16296,-414,66,29
7,8368,116,16468,-398,112,18
8,8244,68,16476,-394,114,32
9,8292,16,16344,-393,88,38
10,8368,68,16384,-433,102,50
11,8400,84,16408,-390,15,44
12,7240,688,16088,-684,-49,72
13,8328,104,16376,-389,138,3
14,8300,36,16436,-409,87,35
15,8336,88,16376,-395,132,61
16,8388,140,16360,-423,78,83
17,8304,80,16352,-421,77,37
18,8440,140,16344,-403,97,51
19,8400,148,16284,-391,142,69
20,8380,188,16344,-411,99,50
21,8384,104,16408,-436,120,57
22,8352,140,16392,-413,155,40
23,8404,128,16372,-379,114,37
24,8372,104,16388,-431,65,39
25,8416,164,16328,-401,113,25
26,8348,180,16344,-438,88,63
27,8360,84,16416,-413,102,50
28,8364,76,16340,-417,96,49
29,8416,72,16392,-454,81,46
30,8396,108,16308,-420,114,16
1,8388,176,16276,-431,102,22
2,8484,220,16308,-426,103,57
3,8448,244,16380,-415,109,12
4,8456,192,16296,-405,104,44
5,8384,256,16448,-387,99,19
6,8452,220,16412,-387,73,52
7,8460,264,16352,-427,77,35
8,8424,204,16356,-429,66,44
9,8432,232,16352,-424,94,42
10,8452,216,16340,-420,112,65
11,8480,216,16324,-433,109,61
12,8436,208,16352,-404,105,45
13,8400,220,16408,-418,114,15
14,8452,188,16420,-422,122,17
15,8448,172,16360,-424,102,13
16,8416,196,16276,-396,80,35
17,8468,232,16384,-433,81,11
18,8420,240,16300,-371,91,23
19,8416,188,16348,-430,104,61
20,8440,192,16256,-415,71,32
21,8436,200,16464,-398,122,28
22,8416,184,16296,-407,107,52
23,8452,208,16296,-410,104,23
24,8436,280,16248,-399,125,54
25,8428,260,16376,-415,91,30
26,8356,180,16236,-416,107,62
27,8432,252,16256,-387,97,25
28,8424,216,16368,-418,79,47
29,8452,212,16276,-407,117,58
30,8448,164,16240,-421,105,16
1,8504,216,16344,-428,109,55
2,8512,192,16368,-390,72,51
3,8496,204,16368,-419,112,27
4,8496,208,16304,-399,98,36
5,8472,176,16412,-392,117,34
6,8484,184,16232,-419,110,34
7,8532,188,16168,-400,131,41
8,8488,244,16272,-392,104,74
9,8408,160,16272,-428,102,27
10,8484,212,16320,-413,117,59
11,8476,236,16424,-410,108,20
12,8480,192,16300,-422,80,27
13,8416,224,16344,-371,111,41
14,8500,128,16392,-416,118,35
15,8364,168,16368,-413,121,23
16,8488,260,16248,-420,95,50
17,8512,172,16292,-421,93,44
18,8468,212,16340,-394,86,38
19,8448,204,16412,-402,96,49
20,8456,224,16344,-381,102,30
21,8384,212,16364,-427,70,58
22,8484,224,16268,-415,91,36
23,8440,132,16316,-419,81,56
24,8460,180,16296,-449,90,54
25,8480,180,16360,-407,130,54
26,8456,196,16200,-437,121,13
27,8516,196,16412,-388,114,47
28,8468,120,16304,-389,120,45
29,8460,160,16396,-389,107,38
30,8488,204,16284,-411,103,44
1,8656,200,16168,-421,107,38
2,8616,212,16232,-371,129,40
3,8568,208,16264,-411,97,54
4,8572,184,16088,-418,99,37
5,8552,140,16232,-376,135,49
6,8544,188,16208,-405,152,39
7,8584,188,16356,-419,116,22
8,8568,212,16228,-430,116,28
9,8588,228,16196,-406,114,24
10,8624,188,16236,-387,107,45
11,8580,160,16248,-411,110,33
12,8576,200,16288,-390,100,57
13,8556,244,16232,-409,106,30
14,8576,164,16244,-417,109,23
15,8664,204,16224,-444,112,28
16,8604,200,16272,-426,118,47
17,8584,140,16192,-407,130,68
18,8556,200,16332,-435,122,71
19,8616,228,16196,-394,98,16
20,8560,184,16164,-425,97,31
21,8668,176,16324,-407,125,43
22,8556,200,16272,-395,112,19
23,8612,180,16268,-405,115,52
24,8640,156,16236,-417,135,50
25,8640,180,16320,-401,81,45
26,8648,164,16244,-397,104,39
27,8656,188,16284,-428,104,45
28,8644,240,16132,-391,70,34
29,8588,136,16228,-388,109,33
30,8596,136,16280,-427,129,51
1,8536,196,16328,-409,77,12
2,8556,212,16284,-398,90,48
3,8548,172,16244,-426,91,41
4,8548,188,16296,-405,98,41
5,8544,180,16284,-409,137,21
6,8600,204,16240,-384,84,48
7,8568,236,16284,-374,95,16
8,8504,212,16244,-432,122,51
9,8492,248,16288,-424,115,55
10,8540,204,16308,-389,113,33
11,8452,200,16188,-409,103,74
12,8528,172,16356,-399,102,38
13,8456,168,16344,-433,93,44
14,8560,212,16256,-400,104,39
15,8436,124,16300,-402,102,53
16,8540,224,16360,-400,86,25
17,8532,204,16380,-427,97,39
18,8496,108,16240,-398,84,46
19,8484,204,16264,-411,98,7
20,8560,132,16268,-422,104,32
21,8500,180,16304,-372,83,7
22,8476,204,16232,-428,80,39
23,8440,180,16368,-427,157,41
24,8552,192,16352,-403,96,48
25,8548,116,16388,-410,100,47
26,8440,204,16216,-408,-34,46
27,8504,220,16336,-426,62,16
28,8464,188,16256,-414,96,32
29,8504,204,16252,-418,91,76
30,8456,152,16300,-389,56,21
31,8324,184,16392,-391,72,36
32,8300,160,16440,-389,213,42
33,8316,216,16436,-425,11,38
34,8356,232,16440,-416,218,52
35,8252,144,16364,-415,-14,18
36,8328,220,16468,-404,182,68
37,8288,208,16352,-408,94,33
38,8316,244,16576,-374,244,36
39,8240,232,16364,-443,-67,81
40,8204,208,16540,-395,217,27